TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,2,23,17,40,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,3,2,17,13,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,3,2,22,45,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,4,11,19,49,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,4,27,21,27,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,5,1,11,18,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,5,9,16,30,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,5,9,17,8,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,7,10,18,56,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,1,31,20,58,7XX BUTE ST,West End,490797.659,5459282.3112
Other Theft,2026,2,1,17,16,7XX BUTE ST,West End,490797.659,5459282.3112
Other Theft,2026,4,16,9,56,7XX BUTE ST,West End,490797.659,5459282.3112
Other Theft,2026,5,10,18,30,7XX CAMBIE ST,Central Business District,491688.243,5458433.8757
Other Theft,2026,4,22,4,0,7XX CARDERO ST,West End,490504.4452,5459761.0972
Other Theft,2026,6,25,20,15,7XX CHILCO ST,West End,490010.4317,5460145.6053
Other Theft,2026,7,3,4,0,7XX COMMERCIAL DR,Grandview-Woodland,494869.7371,5458394.2096
Other Theft,2026,5,14,3,20,7XX DAVIE ST,Central Business District,490773.1242,5458328.4123
Other Theft,2026,5,18,15,31,7XX DAVIE ST,Central Business District,490773.1242,5458328.4123
Other Theft,2026,1,15,10,24,7XX DAVIE ST,Central Business District,490777.6005,5458311.0872
Other Theft,2026,3,9,20,30,7XX DAVIE ST,Central Business District,490777.6005,5458311.0872
Other Theft,2026,4,30,14,9,7XX DAVIE ST,Central Business District,490777.6005,5458311.0872
